bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,yr_built,sqft_above,sqft_basement,view,waterfront,yr_renovated,price
4,2.0,2392,6801,2.0,4,2,2005,1547,845,3,0,2021,817622
5,2.4,3939,7798,2.0,3,8,1996,3027,912,1,0,0,1257632
3,3.2,2353,7760,1.5,2,9,1957,1856,497,0,0,0,822631
5,3.6,3354,7307,1.0,1,4,2004,3183,171,3,0,0,1110215
5,2.3,2003,4587,1.0,1,4,1967,1918,85,1,1,0,863942
2,1.1,3885,14034,2.0,1,5,1984,3328,557,4,0,0,1299345
3,1.5,4071,10954,1.0,2,2,1981,3214,857,2,0,0,1246977
3,1.1,4292,13624,1.0,2,7,1973,4107,185,2,0,0,1320700
3,3.0,3926,9838,2.0,3,5,1956,3771,155,4,0,0,1287491
5,2.0,543,1219,1.5,1,6,1962,400,143,0,0,0,332591
4,2.6,4112,12597,1.5,2,4,2018,3203,909,4,0,1990,1316117
3,2.5,3118,5884,1.0,4,8,1991,2598,520,1,0,2011,1023917
6,1.2,3663,8910,2.0,2,8,1980,3037,626,0,0,0,1179067
5,2.2,1788,3616,1.0,2,5,1975,1123,665,2,0,0,674465
2,1.7,3442,11150,2.0,4,6,1981,3313,129,1,0,0,1093947
4,2.3,719,2775,1.0,1,3,2001,400,319,3,0,0,382618
6,1.6,2425,9672,2.0,4,1,1969,2345,80,3,0,2019,849723
6,3.5,3472,9116,1.5,1,9,1989,3089,383,3,0,0,1251007
2,1.5,4013,8553,1.5,4,9,2008,3212,801,2,0,0,1309460
4,3.9,2948,7685,2.0,3,3,1963,2290,658,4,0,1991,1065857
5,2.2,3971,14367,2.0,1,4,1993,3677,294,0,1,0,1368174
1,3.5,3274,6597,1.0,2,7,1997,2297,977,2,0,0,1097164
4,2.9,1490,5781,2.0,3,2,1992,1222,268,1,0,2003,558709
2,3.2,3446,8114,1.0,1,3,1965,2802,644,1,0,0,1027032
6,3.3,2312,9165,2.0,1,6,1984,1751,561,3,0,0,888657
5,2.5,1303,4686,2.0,1,8,2002,769,534,0,0,0,556465
4,2.6,989,3482,1.0,4,1,1983,612,377,3,1,0,607836
1,2.5,4056,9307,2.0,1,4,1952,3681,375,1,0,0,1225835
1,2.8,1993,3033,1.0,2,1,2017,1906,87,1,0,0,676903
3,1.1,4145,10177,1.0,1,2,1954,3221,924,4,0,0,1273015
3,2.2,3391,7645,2.0,2,8,1959,2768,623,4,0,0,1176434
2,2.8,2205,3513,2.0,2,6,2001,2095,110,4,0,0,869095
4,2.8,4016,11097,1.5,2,9,1978,3433,583,3,0,0,1354817
4,3.4,3840,9629,1.0,3,2,1980,3687,153,0,0,2007,1165731
6,3.0,553,1706,1.0,2,3,2015,400,153,4,0,0,393858
6,4.0,3075,9387,2.0,4,9,2018,2507,568,2,0,0,1115057
6,1.9,4091,7371,1.0,1,9,1986,3323,768,4,0,0,1370579
3,2.1,1115,4395,1.0,4,6,1976,960,155,3,0,1995,535724
4,2.2,1454,2860,1.5,3,3,1982,830,624,0,0,0,502131
4,2.4,2933,7664,1.5,1,5,2017,2616,317,4,0,0,1009010
1,3.5,2129,5791,1.5,2,2,2008,1571,558,0,0,0,686481
3,1.7,3281,11590,1.0,1,7,2013,3044,237,2,0,0,1060157
5,3.3,1149,2008,1.0,3,8,1993,816,333,1,0,0,524290
3,2.2,2847,7321,1.0,3,6,1998,2742,105,0,0,0,887157
5,2.8,4990,15325,2.0,4,8,2002,4509,481,4,0,1993,1665933
1,2.9,3778,7699,1.0,1,2,1998,3080,698,3,0,0,1165561
2,2.1,3140,9635,2.0,1,3,2015,2470,670,3,0,2012,1008462
4,2.5,4301,16383,2.0,1,7,2012,3592,709,3,0,2020,1401857
1,2.2,3061,12225,2.0,4,1,1974,2680,381,3,0,2015,979518
4,1.2,3749,5927,2.0,3,7,1953,3061,688,0,0,2018,1156912
6,2.3,870,1817,1.0,2,6,2000,610,260,3,0,2017,483611
2,1.3,1357,3088,1.0,1,8,1960,559,798,1,0,0,548086
2,2.2,883,2205,1.5,4,7,1966,591,292,2,0,0,469729
1,2.8,4377,9216,1.0,4,4,2015,4043,334,0,0,0,1272324
2,2.7,3052,6130,2.0,2,3,2019,2398,654,0,0,2011,957698
5,3.0,4834,18786,2.0,3,3,2018,4015,819,3,0,0,1559498
2,1.3,4790,18184,2.0,1,4,1978,4082,708,3,0,0,1448318
4,3.0,3225,5216,1.0,1,9,2021,2750,475,0,1,0,1205190
4,1.9,4534,10641,2.0,4,9,1969,4310,224,3,0,2017,1472271
4,2.2,3793,9531,1.0,3,2,1976,2887,906,3,0,0,1187799
4,3.6,4751,9965,1.5,1,5,1957,4197,554,3,0,0,1512769
5,1.0,4488,13787,1.5,2,1,2010,4035,453,3,0,0,1410872
3,2.8,1422,4409,2.0,3,4,1977,760,662,3,0,0,617781
6,2.8,3415,12383,1.5,3,2,2019,3120,295,4,0,0,1152255
1,2.2,3450,11564,2.0,4,8,1952,2876,574,4,0,0,1181688
4,1.7,3546,10128,2.0,4,4,2018,2905,641,4,0,0,1176871
2,1.7,1474,4619,2.0,1,5,1956,708,766,0,0,2001,538706
4,3.7,1730,3780,1.0,4,4,2009,1268,462,2,0,0,675553
2,2.3,2935,8754,2.0,3,5,1953,2081,854,0,0,0,933154
6,2.0,2314,6301,2.0,1,5,1954,2101,213,4,0,0,880100
6,2.3,3434,6295,1.0,1,5,1960,2850,584,0,0,0,1120799
6,3.0,1863,3924,1.0,3,3,1964,921,942,2,0,0,697515
2,1.4,4440,9897,1.0,1,7,2013,3825,615,3,0,0,1376733
4,2.3,703,2678,1.0,2,3,1962,546,157,1,0,1994,330350
6,2.8,660,1370,1.5,2,2,1956,400,260,4,0,0,431558
5,3.8,4987,11086,2.0,1,3,1955,4161,826,4,0,0,1615597
2,1.8,1268,3072,1.5,4,3,2005,1031,237,2,0,2018,509886
2,2.1,4248,13420,1.5,2,8,2013,3946,302,3,0,2002,1385500
4,2.1,3081,5532,2.0,1,4,1999,2198,883,3,0,0,1044149
2,2.8,1593,6188,1.0,2,3,1979,924,669,1,0,0,530275
2,2.1,1107,4055,2.0,4,5,1971,487,620,3,0,2004,515831
6,2.6,2040,6003,1.5,3,4,1974,1520,520,2,0,2007,758809
4,3.3,3375,10749,1.5,1,9,1977,3055,320,3,0,2007,1181963
6,3.1,3691,5690,1.0,1,8,1988,3633,58,2,0,0,1228156
6,2.3,2337,5485,1.5,1,7,2016,1980,357,4,0,0,932803
4,3.6,1189,4148,1.0,1,8,1954,486,703,4,0,0,619376
1,2.7,4259,7213,2.0,1,5,2014,3612,647,4,0,0,1362135
6,2.6,3449,7607,1.0,1,4,1964,3199,250,0,0,2000,1071973
5,1.1,2603,7713,2.0,4,7,2016,1713,890,4,0,1993,964412
5,4.0,865,1851,1.0,3,1,1989,430,435,2,0,0,388818
2,1.4,4075,15627,1.0,4,6,2018,3930,145,1,0,0,1252410
5,1.7,4699,8588,2.0,4,8,1992,3841,858,3,0,0,1531277
2,1.2,4672,16321,1.0,3,7,1950,3695,977,4,0,0,1495028
1,2.9,4825,13364,2.0,4,2,1971,4474,351,0,0,0,1394876
4,1.7,2878,9715,2.0,2,7,2011,2309,569,0,0,0,917362
4,1.5,1705,3881,2.0,4,6,1975,1017,688,2,0,0,656890
4,1.3,4339,12089,1.0,1,5,1967,3540,799,1,0,0,1335297
5,1.3,3235,11782,1.5,2,4,1997,2991,244,4,0,0,1104028
1,2.8,3847,10260,2.0,2,1,1958,3288,559,4,0,2002,1226559
5,3.1,2175,5218,2.0,3,2,1950,1875,300,0,1,0,896841
5,2.2,798,2266,1.0,4,7,1958,400,398,2,0,2016,437011
1,2.4,1456,4795,1.5,4,3,1972,589,867,0,0,0,493423
1,3.1,1614,4210,1.5,2,5,1994,1515,99,0,0,0,580266
1,1.1,3005,11560,1.0,4,8,1951,2281,724,1,0,0,956326
1,2.0,1974,4416,1.0,4,8,1963,1161,813,2,0,0,729478
4,3.9,4960,13335,1.5,3,6,1987,4481,479,1,0,0,1527854
